帆船名称,Beam（船宽）,Displacement（排水量）,S.A./Disp.（帆面积与排水量之比）,燃料容量,水容量,Rigging Type（索具类型）,制造商,型号,Mast Height from DWL（离水线至桅杆顶部的高度）
Hunter 45cc,14 ft 6 in (4.42 m),"27,000 lb (12,247 kg)",16.51,75 gal (284 L),149 gal (564 L),Cutter Rig,Hunter Marine,45cc,62 ft 0 in (18.90 m)
Beneteau Sense 51,15 ft 9 in (4.80 m),"31,967 lb (14,500 kg)",18.87,150 gal (568 L),160 gal (606 L),Sloop Rig,Beneteau,Sense 51,70 ft 2 in (21.39 m)
Beneteau Moorings 43.5,14 ft 2 in (4.32 m),"19,621 lb (8,900 kg)",18.51,53 gal (200 L),145 gal (550 L),Sloop Rig,Beneteau,Moorings 43.5,59 ft 6 in (18.14 m)
Alubat Cigale 16,14 ft 1 in (4.30 m),"35,715 lb (16,200 kg)",16.11,111 gal (420 L),103 gal (390 L),Cutter Rig,Alubat,Cigale 16,64 ft 6 in (19.66 m)
Beneteau Oceanis 45,14 ft 9 in (4.49 m),"23,830 lb (10,812 kg)",17.42,53 gal (200 L),87 gal (330 L),Sloop Rig,Beneteau,Oceanis 45,62 ft 9 in (19.13 m)
Harmony 42 Elegance,13 ft 10 in (4.22 m),"20,062 lb (9,100 kg)",18.21,53 gal (200 L),87 gal (330 L),Sloop Rig,Poncin Yachts,Harmony 42 Elegance,60 ft 4 in (18.39 m)
Sweden Yachts 54,15 ft 2 in (4.62 m),"44,092 lb (20,000 kg)",17.27,132 gal (500 L),132 gal (500 L),Cutter Rig,Sweden Yachts,54,73 ft 3 in (22.32 m)
X-Yachts X-4.3,13 ft 1 in (3.99 m),"21,164 lb (9,600 kg)",23.27,53 gal (200 L),80 gal (303 L),Fractional Rig,X-Yachts,X-4.3,62 ft 4 in (19.00 m)
Malo 43 Classic,12 ft 10 in (3.91 m),"28,660 lb (13,000 kg)",17.59,105 gal (400 L),105 gal (400 L),Cutter Rig,Malo Yachts,43 Classic,59 ft 9 in (18.21 m)
Beneteau Oceanis 43 Family,13 ft 6 in (4.11 m),"19,841 lb (9,000 kg)",17.43,53 gal (200 L),95 gal (360 L),Sloop Rig,Beneteau,Oceanis 43 Family,56 ft 2 in (17.12 m)
Comar Comet 51S,14 ft 8 in (4.49 m),"39,683 lb (18,000 kg)",17.01,95 gal (360 L),106 gal (400 L),Sloop Rig,Comar Yachts,Comet 51S,71 ft 2 in (21.69 m)
Jeanneau Sun Odyssey 49 DS,14 ft 9 in (4.50 m),"28,660 lb (13,000 kg)",17.15,63 gal (240 L),163 gal (620 L),Sloop Rig,Jeanneau,Sun Odyssey 49 DS,63 ft 11 in (19.48 m)
Jeanneau Sun Odyssey 42 DS,13 ft 6 in (4.11 m),"19,621 lb (8,900 kg)",17.3,52 gal (200 L),108 gal (410 L),Sloop Rig,Jeanneau,Sun Odyssey 42 DS,55 ft 6 in (16.92 m)
Salona S380,12 ft 8 in (3.86 m),"17,637 lb (8,000 kg)",22.8,53 gal (200 L),79 gal (300 L),Fractional Rig,Salona Yachts,S380,59 ft 5 in (18.12 m)
Delphia 46 CC,14 ft 5 in (4.41 m),"29,762 lb (13,500 kg)",15.94,106 gal (400 L),148 gal (560 L),Cutter Rig,Delphia Yachts,46 CC,63 ft (19.20 m)
Dufour 425,13 ft 9 in (4.19 m),"20,723 lb (9,400 kg)",20.89,53 gal (200 L),106 gal (400 L),Fractional Rig,Dufour Yachts,425,57 ft 5 in (17.50 m)
Grand Soleil 56,16 ft 1 in (4.91 m),"47,399 lb (21,500 kg)",18.26,132 gal (500 L),183 gal (695 L),Sloop Rig,Cantiere del Pardo,Grand Soleil 56,82 ft 7 in (25.17 m)
Bavaria 45 Cruiser,14 ft 3 in (4.34 m),"26,455 lb (12,000 kg)",17.41,55 gal (210 L),95 gal (360 L),Sloop Rig,Bavaria Yachts,45 Cruiser,63 ft 2 in (19.25 m)
Elan Impression 40,12 ft 8 in (3.87 m),"18,298 lb (8,300 kg)",18.77,50 gal (190 L),58 gal (220 L),Fractional Rig,Elan Yachts,Impression 40,56 ft 3 in (17.15 m)
B Yachts Brenta B42,12 ft 6 in (3.82 m),"17,196 lb (7,800 kg)",24.9,53 gal (200 L),79 gal (300 L),Fractional Rig,B Yachts,Brenta B42,63 ft (19.20 m)
Beneteau Cyclades 50.5,16 ft 1 in (4.90 m),"29,762 lb (13,500 kg)",16.55,"264 gal (1,000 L)",251 gal (950 L),Sloop Rig,Beneteau,Cyclades 50.5,68 ft 11 in (21.01 m)
X-Yachts-40,3.81 m,8280 kg,18.7,200 L,340 L,Fractional sloop,X-Yachts,Cruiser-racer,17.98 m
Grand-Soleil-39,3.80 m,7800 kg,19.6,210 L,360 L,Fractional sloop,Grand Soleil,Cruiser-racer,17.80 m
Dufour-460,4.50 m,10750 kg,16.4,250 L,530 L,Fractional sloop,Dufour Yachts,Cruiser,19.20 m
Hunter-44-DS,4.42 m,11339 kg,16.1,238 L,500 L,B&R rig,Hunter Marine,Cruiser,17.75 m
Southerly-135,4.60 m,20238 kg,13.4,600 L,1100 L,Fractional sloop,Southerly,Bluewater cruiser,23.94 m
C&C-115,3.66 m,6325 kg,22.2,83 L,189 L,Fractional sloop,C&C Yachts,Racer-cruiser,17.22 m
X-Yachts-41,3.95 m,8560 kg,20,200 L,340 L,Fractional sloop,X-Yachts,Cruiser-racer,19.42 m
Elan-45-Impression,4.37 m,12600 kg,17.2,270 L,615 L,Fractional sloop,Elan Yachts,Cruiser,20.70 m
Oyster-54,4.57 m,21500 kg,15.1,1200 L,960 L,Cutter,Oyster Yachts,Bluewater cruiser,22.58 m
Beneteau-Oceanis-473,4.31 m,12000 kg,16.8,237 L,1000 L,In-mast furling,Beneteau,Cruiser,17.90 m
Jeanneau-Sun-Odyssey-469,4.49 m,10800 kg,18.1,240 L,615 L,In-mast furling,Jeanneau,Cruiser,19.20 m
Grand-Soleil-43,4.20 m,9400 kg,20.6,220 L,360 L,Fractional sloop,Grand Soleil,Racer-cruiser,20.14 m
X-Yachts-Xc-50,4.66 m,16700 kg,17.6,460 L,680 L,Fractional sloop,X-Yachts,Cruiser-racer,22.97 m
Beneteau-OCEANIS-55,4.98 m,16200 kg,17.1,400 L,694 L,Fractional sloop,Beneteau,Cruiser,24.98 m
Dufour 40 Performance,3.89,"8,950",17.33,200,380,Fractional Sloop,Dufour Yachts,Cruiser/Racer,18.6
Beneteau Sense 43,4.43,"9,900",16.55,200,520,Sloop,Beneteau,Cruiser,19.2
Nordship 380DS,3.75,"9,300",16.79,250,480,Cutter,Nordship,Cruiser,17.6
Hunter 45 Center Cockpit,4.27,"12,700",15.16,378,700,Fractional Sloop,Hunter Marine,Cruiser,18.7
Beneteau Oceanis 54,4.9,"16,800",14.64,475,970,Sloop,Beneteau,Cruiser,22.1
Beneteau Oceanis 48,4.74,"12,600",17.01,200,690,Sloop,Beneteau,Cruiser,19.7
Jeanneau Sun Odyssey 49 Owner's Version,4.49,"12,800",16.35,240,700,Sloop,Jeanneau,Cruiser,19.2
Najad 440 CC,4.2,"14,200",16.49,500,600,Cutter,Najad,Cruiser,18.6
Jeanneau Sun Odyssey 49DS,4.49,"12,800",16.35,240,700,Sloop,Jeanneau,Cruiser,19.2
Sly 48C,4.6,"12,000",22.17,280,780,Sloop,Sly Yachts,Cruiser/Racer,22.6
Passport Vista 515 Center Cockpit,4.5,"16,000",14.88,800,900,Cutter,Passport Yachts,Cruiser,19.5
Jeanneau 39i,3.88,"7,900",17.85,130,355,Sloop,Jeanneau,Cruiser,15.2
Elan 514 Impression,4.68,"16,000",16.08,500,780,Sloop,Elan Yachts,Cruiser,21.5
Bavaria 40S Cruiser,3.96,"9,900",17.61,210,360,Fractional Sloop,Bavaria Yachts,Cruiser,17.1
Beneteau Cyclades 43.4,4.43,"9,400",17.79,200,530,Sloop,Beneteau,Cruiser,16.7
Hanse 400 Epoxy,4.04,"8,200",19.19,140,320,Fractional Sloop,Hanse Yachts,Cruiser,19.8
Beneteau Oceanis 46,4.25,"10,300",16.45,200,530,Sloop,Beneteau,Cruiser,18.17
Malo 40 Classic,3.8,"10,800",15.06,300,380,Sloop,Malo Yachts,Cruiser,16.7
Hanse 400e,4.04,"8,200",19.19,140,320,Fractional Sloop,Hanse Yachts,Cruiser,19.8
RM Yachts RM 12.70,4.35,"9,000",20.57,270,600,Fractional Sloop,RM Yachts,Cruiser,19.15
Hunter 41 Aft Cockpit,4.04,"8,500",17.64,151,284,Fractional Sloop,Hunter Yachts,Cruiser,18.42
X-Yachts X-50 Modern,4.6,"15,000",23.08,300,600,Fractional Sloop,X-Yachts,Cruiser,22
C&C 121,3.66,"5,670",22.68,91,189,Fractional Sloop,C&C Yachts,Racer,19
Jeanneau 509,4.69,"13,935",19.61,240,640,Fractional Sloop,Jeanneau,Cruiser,21.55
Dufour 412 GL,4.2,"8,950",17.68,200,380,Fractional Sloop,Dufour Yachts,Cruiser,16.4
Jeanneau 45 Sun Odyssey Perf.,4.37,"9,900",21.72,200,330,Fractional Sloop,Jeanneau,Cruiser,18.5
Bavaria 41 Cruiser,3.96,"8,300",18.27,210,360,Fractional Sloop,Bavaria Yachts,Cruiser,18.2
Comar Comet 52 RS,4.6,"14,000",22.63,400,800,Fractional Sloop,Comar Yachts,Racer,23.6
Dufour 520,5.02,"14,600",18.34,500,720,Fractional Sloop,Dufour Yachts,Cruiser,21.4
Jeanneau Sun Odyssey 389,3.76,"7,700",17.08,130,200,Fractional Sloop,Jeanneau,Cruiser,15.02
B Yachts 38,3.68,"5,800",20.29,200,300,Fractional Sloop,B Yachts,Racer,19.3
Hunter Passage 456,4.6,"12,700",17.16,400,700,Cutter,Hunter Yachts,Cruiser,18
Comar Comet 41S,3.96,"7,600",21.06,200,450,Fractional Sloop,Comar Yachts,Racer,19.6
Vismara V50,4.18,"9,900",23.81,300,400,Fractional Sloop,Vismara,Racer,23
Bavaria 50 Cruiser,4.49,"13,935",15.62,320,650,Fractional Sloop,Bavaria Yachts,Cruiser,19.13
Jeanneau Sun Odyssey 49i,4.49,"11,500",17.42,240,700,Fractional Sloop,Jeanneau,Cruiser,18.27
Hunter AC 50,4.78,"15,400",15.69,350,760,Fractional Sloop,Hunter Yachts,Cruiser,23.1
Elan 50,4.68,"14,900",17.29,250,600,Fractional Sloop,Elan Yachts,Cruiser,23.55
Nautor Swan ClubSwan 50,4.51,"12,800",22.03,300,320,Fractional Sloop,Nautor Swan,Racer,23.6
Jeanneau Sun Odyssey 50 DS,4.49,"13,920",16.21,240,615,Fractional Sloop,Jeanneau,Cruiser,19
Jeanneau Sun Odyssey 49,4.49,"11,900",17.28,240,700,Fractional Sloop,Jeanneau,Cruiser,19.5
Bavaria C45 Holiday,4.49,"12,600",18.9,210,650,Fractional Sloop,Bavaria Yachts,Cruiser,21.85
Beneteau Oceanis 423,3.9,"8,800",17.41,200,530,Masthead Sloop,Beneteau,Cruiser,15.3
Bavaria 46 Cruiser,4.35,"11,000",16.08,210,460,Fractional Sloop,Bavaria Yachts,Cruiser,17.25
Dufour 455,4.3,"10,300",17.44,250,530,Fractional Sloop,Dufour Yachts,Cruiser,19.12
Harmony 47,4.3,"10,700",16.49,300,900,Fractional Sloop,Poncin Yachts,Cruiser,18.1
Jeanneau Sun Odyssey 40.3,3.95,"7,850",16.57,150,320,Masthead Sloop,Jeanneau,Cruiser,14.33
Elan Impression 50,4.68,"14,900",16.04,300,605,Fractional Sloop,Elan Yachts,Cruiser,22.2
Dufour 385 GL,3.93,"7,800",16.23,160,440,Fractional Sloop,Dufour Yachts,Cruiser,14.03
Tayana-52-DS,4.65,20412,16.2,900,1000,Cutter,Tayana Yachts,Sailboat,N/A
Wauquiez-Opium-39,3.85,7076,23.4,200,400,Sloop,Wauquiez,Sailboat,N/A
Dehler-47,4.5,12600,21.6,250,450,Sloop,Dehler Yachts,Sailboat,21.15
Jeanneau-Sun-Odyssey-42i-Performance,4.13,9300,17.7,200,320,Sloop,Jeanneau,Sailboat,17.25
Passport-545-Aft-Cockpit,4.57,20412,16.2,900,1000,Cutter,Passport Yachts,Sailboat,N/A
Van-De-Stadt-Stainless-Steel-Cutter,3.81,9072,22.2,190,450,Cutter,Van de Stadt Design,Sailboat,18.9
Caliber-47-LRC-SE,4.47,14780,16.2,725,900,Cutter,Caliber Yachts,Sailboat,18.59
Dehler-44-SQ,4.20 m,"10,800 kg",19.92,210 L,450 L,Fractional Sloop,Dehler,Cruiser/Racer,20.05 m
Grand-Soleil-40,3.80 m,"7,700 kg",18.43,200 L,320 L,Fractional Sloop,Grand Soleil,Cruiser/Racer,18.30 m
Dufour-56-Exclusive,5.00 m,"17,970 kg",16.69,500 L,730 L,Fractional Sloop,Dufour,Cruiser,26.00 m
Dufour-40e-Performance,3.89 m,"7,750 kg",20.01,200 L,380 L,Fractional Sloop,Dufour,Cruiser/Racer,17.45 m
Dufour-445-GL,4.35 m,"10,500 kg",16.32,250 L,530 L,Fractional Sloop,Dufour,Cruiser,19.80 m
X-Yachts-50,4.57 m,"15,000 kg",21.44,400 L,900 L,Fractional Sloop,X-Yachts,Cruiser/Racer,22.20 m
Beneteau-Oceanis-55.1,4.96 m,"16,900 kg",15.67,400 L,694 L,Fractional Sloop,Beneteau,Cruiser,23.33 m
Nautor-Swan-46,4.14 m,"14,500 kg",17.69,220 L,397 L,松散式帆具,Nautor Swan,Cruiser,19 m
Dufour-382-GL,3.86 m,"7,340 kg",19.63,159 L,360 L,松散式帆具,Dufour,Cruiser,15.85 m
Beneteau-Cyclades-39.3,3.9 m,"7,300 kg",16.5,200 L,330 L,松散式帆具,Beneteau,Cruiser,17.2 m
Bavaria-38-Cruiser,3.96 m,"7,000 kg",16.1,150 L,360 L,松散式帆具,Bavaria,Cruiser,16 m
Beneteau-Oceanis-50-Family,4.82 m,"14,000 kg",15.85,240 L,570 L,松散式帆具,Beneteau,Cruiser,20.8 m
X-Yachts-XP50,4.5 m,"14,000 kg",24.5,330 L,400 L,松散式帆具,X-Yachts,Cruiser,26.27 m
Jeanneau-Sun-Odyssey-45-Performance,4.49 m,"9,900 kg",21.6,200 L,330 L,Fractional Sloop（分段横帆）,Jeanneau,Cruiser,18.3 m
Beneteau-America-50,4.83 m,"13,500 kg",17.23,238 L,565 L,松散式帆具,Beneteau America,Cruiser,21.33 m
Hunter-50-Center-Cockpit,4.78 m,"14,500 kg",16.06,757 L,757 L,松散式帆具,Hunter,Cruiser,20.73 m
Elan-394-Impression,3.91 m,"8,990 kg",18.31,200 L,516 L,松散式帆具,Elan,Cruiser,17.5 m
Hanse-470e,4.46 m,"12,800 kg",20.02,250 L,380 L,松散式帆具,Hanse,Cruiser,21.75 m
Dufour-485-GL,4.70 m,"14,650 kg",16.01,500 L,730 L,松散式帆具,Dufour,Cruiser,22.15 m
Poncin-HARMONY-47,4.48 m,"11,500 kg",16.08,600 L,600 L,松散式帆具,Poncin,Cruiser,20.3 m
Dufour-412,4.2 m,"8,740 kg",21.15,200 L,380 L,松散式帆具,Dufour,Cruiser,18.95 m
Dufour-520-GL-Owner-Version,4.99 m,"16,300 kg",20.58,500 L,730 L,松散式帆具,Dufour,Cruiser,24.9 m
Solaris-48-ONE,4.50 m,"12,300 kg",22.43,280 L,550 L,松散式帆具,Solaris,Cruiser,23.4 m
Beneteau-Sense-55,4.97 m,"17,900 kg",16.28,415 L,970 L,松散式帆具,Beneteau,Cruiser,28.05 m
Hunter-M-H-40,4.27 m,"8,400 kg",19.63,189 L,378 L,松散式帆具,Hunter,Cruiser,18.55 m
X-Yachts-X-50,4.63 m,"14,000 kg",21.09,400 L,600 L,松散式帆具,X-Yachts,Cruiser,24.5 m
Jeanneau-Sun-Odyssey-45,4.37 m,"9,900 kg",18.68,200 L,330 L,松散式帆具,Jeanneau,Cruiser,19.4 m
Hanse-430e,4.18 m,"12,600 kg",20.94,230 L,330 L,松散式帆具,Hanse,Cruiser,20.65 m
Dufour-425-GL,4.16 m,"8,750 kg",17.92,160 L,380 L,松散式帆具,Dufour,Cruiser,17.1 m
Grand-Soleil-56-EXTREME,5.05 m,"19,500 kg",17.15,450 L,600 L,松散式帆具,Grand Soleil,Cruiser,26.6 m
Dufour-405,4.20 m,"8,790 kg",18.42,200 L,380 L,松散式帆具,Dufour,Cruiser,18.5 m
Beneteau-Oceanis-41.1,4.2 m,"8,880 kg",17.39,200 L,570 L,松散式帆具,Beneteau,Cruiser,17.1 m
Grand-Soleil-48-Ocean-Cruiser,4.55 m,"14,500 kg",18.27,410 L,600 L,松散式帆具,Grand Soleil,Cruiser,23.0 m
Jeanneau-409,3.98 m,"8,900 kg",18.14,200 L,330 L,松散式帆具,Jeanneau,Cruiser,17.6 m
Beneteau-Sense-46,4.43 m,"11,030 kg",16.53,200 L,570 L,松散式帆具,Beneteau,Cruiser,19.7 m
Alliage-44,4.1 m,"14,000 kg",16.27,480 L,680 L,Cutter,Alliage,Cruiser,17.8 m
Nautor-Swan-50,4.48 m,"17,200 kg",20.92,400 L,750 L,Fractional Sloop,Nautor Swan,Cruiser,22.85 m
Jeanneau-Sun-Odyssey-53,4.77 m,"15,500 kg",17.32,240 L,950 L,Fractional Sloop,Jeanneau,Cruiser,20.75 m
Catalina-Morgan-440-DS-Sloop,4.22 m,"12,474 kg",18.52,265 L,490 L,Fractional Sloop,Catalina,Cruiser,17.13 m
Harmony-38,3.88 m,"8,530 kg",17.63,200 L,355 L,Fractional Sloop,Poncin Yachts,Cruiser,17.4 m
Oyster-545,5.18 m,"26,580 kg",17.12,"1,500 L",960 L,Cutter,Oyster,Cruiser,23.49 m
X-Yachts-Xc-38,3.6 m,"7,500 kg",23.97,200 L,340 L,Fractional Sloop,X-Yachts,Cruiser,18.95 m
Jeanneau-Sun-Odyssey-40,3.95 m,"7,800 kg",16.11,200 L,330 L,Fractional Sloop,Jeanneau,Cruiser,16.54 m
Nauticat-441-Ketch,4.1 m,"16,500 kg",15.51,900 L,700 L,Ketch,Nauticat,Cruiser,18.5 m
Jeanneau-Sun-Odyssey-490,4.49 m,"12,800 kg",17.57,240 L,720 L,Fractional Sloop,Jeanneau,Cruiser,20.75 m
Beneteau-First-45,4.2 m,"10,600 kg",21.15,200 L,570 L,Fractional Sloop,Beneteau,Racer,21.5 m
Dufour-390,3.98 m,"7,750 kg",17.41,200 L,380 L,Fractional Sloop,Dufour,Cruiser,18.1 m
Beneteau-Oceanis-38,3.99 m,"6,790 kg",18.45,130 L,330 L,Fractional Sloop,Beneteau,Cruiser,15.6 m
RM-Yachts-RM-1270,4.35 m,"9,000 kg",21.28,300 L,400 L,Fractional Sloop,RM Yachts,Cruiser,20.7 m
Dehler-Varianta-44,4.17 m,"10,200 kg",17.86,210 L,330 L,Fractional Sloop,Dehler,Cruiser,20.85 m
Jeanneau-Sun-Odyssey-49-Owners-version,4.49 m,"12,600 kg",17.42,240 L,700 L,Fractional Sloop,Jeanneau,Cruiser,20.75 m
Nordship-DSC-38,3.70 m,"9,500 kg",15.34,250 L,425 L,Ketch,Nordship,Cruiser,16.00 m
Beneteau-Oceanis-50.5,4.82 m,"14,200 kg",16.3,440 L,"1,000 L",Fractional Sloop,Beneteau,Cruiser,20.00 m
Caliber-47LRC,4.29 m,"16,300 kg",15.52,675 L,"1,300 L",Masthead Sloop,Caliber,Cruiser,19.15 m
Hunter-50,4.47 m,"14,800 kg",16.11,570 L,757 L,B&R Rig,Hunter,Cruiser,22.25 m
Malo-46,4.33 m,"16,000 kg",15.97,440 L,530 L,Fractional Sloop,Malo,Cruiser,19.85 m
Island-Packet-485,4.75 m,"18,597 kg",14.74,757 L,"1,213 L",Cutter,Island Packet,Cruiser,20.73 m
Bavaria-51-Cruiser-Style,4.67 m,"13,490 kg",17.5,280 L,650 L,Fractional Sloop,Bavaria,Cruiser,20.53 m
Dufour-500-GL,4.77 m,"13,905 kg",16.6,500 L,720 L,Fractional Sloop,Dufour,Cruiser,22.11 m
Dufour-45e-Performance,4.3 m,"10,400 kg",18.22,250 L,450 L,Fractional Sloop,Dufour,Performance,21.4 m
Vismara-54,4.38 m,"14,500 kg",23.16,350 L,600 L,Fractional Sloop,Vismara,Cruiser,22.14 m
Elan-Impression-384,3.91 m,"8,800 kg",17.98,165 L,400 L,Fractional Sloop,Elan,Cruiser,18.92 m
X-Yachts-Xp-38,3.62 m,"7,900 kg",27.94,200 L,300 L,Fractional Sloop,X-Yachts,Cruiser,19.99 m
Beneteau-Oceanis-43,4.12 m,"8,600 kg",16.31,200 L,360 L,Fractional Sloop,Beneteau,Cruiser,17.4 m
Beneteau-Oceanis-523,4.88 m,"15,500 kg",15.09,450 L,"1,000 L",Masthead Sloop,Beneteau,Cruiser,23.37 m
Sabre-456-MK-II,4.14 m,"13,854 kg",17.21,303 L,568 L,Fractional Sloop,Sabre Yachts,Cruiser,19.81 m
Alubat-Ovni-395,4.32 m,"10,500 kg",14.97,240 L,600 L,Fractional Sloop,Alubat,Cruiser,18.4 m
Bavaria-56-Cruiser,5.28 m,"18,600 kg",15.12,660 L,800 L,Fractional Sloop,Bavaria Yachts,Cruiser,24.2 m
