Unnamed: 0,Make,Variant,"Length
(ft)",GeographicRegion,Country/Region/State,ListingPrice(USD),Year,Bea（船宽）,Displacement（排水量）,S.A./Disp.（帆面积与排水量之比）,燃料容量,水容量,RiggingType（索具类型）,astHeightfroDWL,经济总量(亿美元),经济增速(%),海岸线长度(千米),人口密度(人/km²),通货膨胀率(%)
0.0,1.0,1.0,41.0,1.0,1.0,267233.0,2005.0,4.32,10500.0,14.97,240.0,600.0,1.0,18.4,3038.8,2.3,3427.0,119.0,1.1
48.0,3.0,20.0,56.0,1.0,5.0,461603.0,2005.0,5.2,18600.0,18.98,480.0,1000.0,10.0,24.28,1391.8,2.0,4964.0,93.0,0.5
50.0,5.0,22.0,46.0,2.0,17.0,270000.0,2005.0,3.9,12500.0,16.3,340.0,800.0,11.0,17.83,,,,,
77.0,13.0,42.0,40.0,2.0,14.0,195000.0,2005.0,3.63,7560.0,20.08,189.0,162.0,15.0,19.0,3.0,3.9,1350.0,97.0,3.3
91.0,14.0,47.0,49.0,2.0,14.0,335000.0,2005.0,4.5,13000.0,17.15,240.0,620.0,13.0,19.48,3.0,3.9,1350.0,97.0,3.3
102.0,14.0,48.0,49.0,2.0,26.0,255000.0,2005.0,4.49,11900.0,17.28,240.0,700.0,1.0,19.5,0.6,4.4,4624.0,41.0,1.8
110.0,15.0,50.0,44.0,1.0,12.0,351047.0,2005.0,3.91,13000.0,17.59,400.0,400.0,21.0,18.21,902.3,3.0,451.0,508.0,1.3
111.0,15.0,51.0,46.0,1.0,21.0,393128.0,2005.0,4.33,16000.0,15.97,440.0,530.0,1.0,19.85,,,,,
112.0,16.0,52.0,48.0,2.0,14.0,479000.0,2005.0,4.42,14970.0,16.8,400.0,750.0,19.0,22.3,3.0,3.9,1350.0,97.0,3.3
114.0,18.0,54.0,53.0,1.0,5.0,399651.0,2005.0,4.75,18000.0,17.1,700.0,1000.0,22.0,22.25,1391.8,2.0,4964.0,93.0,0.5
122.0,21.0,57.0,40.0,1.0,12.0,200476.0,2005.0,3.81,8280.0,18.7,200.0,340.0,16.0,17.98,902.3,3.0,451.0,508.0,1.3
123.0,21.0,58.0,50.0,1.0,4.0,334042.0,2005.0,4.63,14000.0,21.09,400.0,600.0,2.0,24.5,1949.3,1.5,7600.0,202.0,0.7
124.0,22.0,29.0,44.0,1.0,1.0,358287.0,2006.0,4.1,14000.0,16.27,480.0,680.0,19.0,17.8,3038.8,2.3,3427.0,119.0,1.1
132.0,2.0,3.0,39.0,1.0,29.0,59520.0,2006.0,3.97,8300.0,16.36,210.0,360.0,3.0,17.75,54.2,4.4,46.0,103.0,1.2
173.0,3.0,16.0,47.0,2.0,33.0,299000.0,2006.0,4.31,12000.0,16.8,237.0,1000.0,8.0,17.9,,,,,
196.0,3.0,18.0,53.0,1.0,5.0,361980.0,2006.0,4.88,15500.0,15.09,450.0,1000.0,6.0,23.37,1391.8,2.0,4964.0,93.0,0.5
201.0,5.0,22.0,46.0,2.0,17.0,349000.0,2006.0,3.9,12500.0,16.3,340.0,800.0,11.0,17.83,,,,,
242.0,12.0,78.0,52.0,1.0,12.0,533252.0,2006.0,4.75,18597.0,14.74,757.0,1213.0,19.0,20.73,902.3,3.0,451.0,508.0,1.3
243.0,13.0,42.0,40.0,2.0,14.0,189000.0,2006.0,3.63,7560.0,20.08,189.0,162.0,15.0,19.0,3.0,3.9,1350.0,97.0,3.3
266.0,14.0,47.0,49.0,2.0,6.0,278165.0,2006.0,4.5,13000.0,17.15,240.0,620.0,13.0,19.48,1.1,4.6,1350.0,145.0,3.4
272.0,14.0,48.0,49.0,2.0,25.0,279900.0,2006.0,4.49,11900.0,17.28,240.0,700.0,1.0,19.5,,,,,
278.0,24.0,82.0,44.0,1.0,21.0,413104.0,2006.0,4.2,14200.0,16.49,500.0,600.0,19.0,18.6,,,,,
280.0,26.0,84.0,47.0,2.0,11.0,489000.0,2006.0,4.5,15000.0,15.5,700.0,900.0,11.0,19.5,0.4,1.9,5313.0,238.0,1.8
281.0,26.0,85.0,51.0,2.0,11.0,635000.0,2006.0,4.5,16000.0,14.88,800.0,900.0,19.0,19.5,0.4,1.9,5313.0,238.0,1.8
283.0,21.0,86.0,40.0,1.0,1.0,180990.0,2006.0,3.81,7900.0,19.5,200.0,320.0,12.0,18.8,3038.8,2.3,3427.0,119.0,1.1
284.0,21.0,86.0,40.0,1.0,4.0,212572.0,2006.0,3.81,7900.0,19.5,200.0,320.0,12.0,18.8,1949.3,1.5,7600.0,202.0,0.7
286.0,21.0,58.0,50.0,1.0,39.0,425144.0,2006.0,4.63,14000.0,21.09,400.0,600.0,2.0,24.5,534.2,1.8,66.0,382.0,0.7
287.0,21.0,35.0,50.0,1.0,37.0,358209.0,2006.0,4.57,15000.0,21.44,400.0,900.0,1.0,22.2,306.1,3.0,7314.0,137.0,0.8
288.0,21.0,58.0,50.0,1.0,1.0,388703.0,2006.0,4.63,14000.0,21.09,400.0,600.0,2.0,24.5,3038.8,2.3,3427.0,119.0,1.1
335.0,3.0,60.0,49.0,2.0,14.0,299900.0,2007.0,4.47,12695.0,21.5,400.0,570.0,4.0,20.0,3.0,3.9,1350.0,97.0,3.3
353.0,5.0,22.0,46.0,2.0,31.0,274000.0,2007.0,3.9,12500.0,16.3,340.0,800.0,11.0,17.83,,,,,
354.0,29.0,96.0,48.0,2.0,6.0,339950.0,2007.0,4.47,14780.0,16.2,725.0,900.0,19.0,18.59,1.1,4.6,1350.0,145.0,3.4
355.0,29.0,97.0,48.0,2.0,15.0,389900.0,2007.0,4.29,16300.0,15.52,675.0,1300.0,6.0,19.15,1.8,3.3,3359.0,113.0,2.8
389.0,9.0,33.0,43.0,1.0,19.0,224719.0,2007.0,4.2,9400.0,20.6,220.0,360.0,16.0,20.14,771.0,5.2,8333.0,107.0,14.6
399.0,9.0,20.0,55.0,1.0,4.0,473751.0,2007.0,4.91,21500.0,18.26,500.0,695.0,13.0,28.17,1949.3,1.5,7600.0,202.0,0.7
400.0,9.0,20.0,55.0,1.0,4.0,473732.0,2007.0,4.91,21500.0,18.26,500.0,695.0,13.0,28.17,1949.3,1.5,7600.0,202.0,0.7
416.0,12.0,78.0,52.0,2.0,14.0,447000.0,2007.0,4.75,18597.0,14.74,757.0,1213.0,19.0,20.73,3.0,3.9,1350.0,97.0,3.3
420.0,13.0,42.0,40.0,1.0,12.0,191363.0,2007.0,3.63,7560.0,20.08,189.0,162.0,15.0,19.0,902.3,3.0,451.0,508.0,1.3
474.0,15.0,116.0,40.0,1.0,4.0,425144.0,2007.0,3.86,10000.0,16.52,230.0,375.0,15.0,17.7,1949.3,1.5,7600.0,202.0,0.7
475.0,32.0,117.0,46.0,1.0,1.0,546613.0,2007.0,4.14,14500.0,17.69,220.0,397.0,2.0,19.0,3038.8,2.3,3427.0,119.0,1.1
476.0,33.0,54.0,53.0,1.0,21.0,646174.0,2007.0,4.88,22680.0,15.34,900.0,950.0,9.0,21.7,,,,,
478.0,34.0,22.0,42.0,1.0,4.0,206498.0,2007.0,4.07,8400.0,20.8,240.0,420.0,4.0,19.85,1949.3,1.5,7600.0,202.0,0.7
479.0,34.0,22.0,42.0,1.0,4.0,205284.0,2007.0,4.07,8400.0,20.8,240.0,420.0,4.0,19.85,1949.3,1.5,7600.0,202.0,0.7
480.0,34.0,54.0,53.0,1.0,4.0,388703.0,2007.0,4.73,13000.0,19.0,400.0,900.0,12.0,22.5,1949.3,1.5,7600.0,202.0,0.7
484.0,37.0,121.0,52.0,1.0,4.0,425161.0,2007.0,4.5,14000.0,16.8,280.0,600.0,32.0,22.3,1949.3,1.5,7600.0,202.0,0.7
485.0,37.0,121.0,52.0,1.0,4.0,425144.0,2007.0,4.5,14000.0,16.8,280.0,600.0,32.0,22.3,1949.3,1.5,7600.0,202.0,0.7
486.0,21.0,86.0,40.0,1.0,1.0,184634.0,2007.0,3.81,7900.0,19.5,200.0,320.0,12.0,18.8,3038.8,2.3,3427.0,119.0,1.1
487.0,21.0,86.0,40.0,1.0,4.0,182204.0,2007.0,3.81,7900.0,19.5,200.0,320.0,12.0,18.8,1949.3,1.5,7600.0,202.0,0.7
488.0,21.0,86.0,40.0,1.0,4.0,180990.0,2007.0,3.81,7900.0,19.5,200.0,320.0,12.0,18.8,1949.3,1.5,7600.0,202.0,0.7
490.0,21.0,74.0,41.0,1.0,2.0,224776.0,2007.0,3.95,8560.0,20.0,200.0,340.0,16.0,19.42,60.7,2.9,5835.0,73.0,1.4
491.0,21.0,74.0,41.0,1.0,2.0,206470.0,2007.0,3.95,8560.0,20.0,200.0,340.0,16.0,19.42,60.7,2.9,5835.0,73.0,1.4
494.0,21.0,123.0,55.0,1.0,4.0,570907.0,2007.0,4.97,18500.0,20.0,500.0,608.0,4.0,28.2,1949.3,1.5,7600.0,202.0,0.7
547.0,3.0,13.0,43.0,1.0,19.0,188278.0,2008.0,4.12,8600.0,16.31,200.0,360.0,1.0,17.4,771.0,5.2,8333.0,107.0,14.6
562.0,3.0,60.0,49.0,1.0,2.0,302472.0,2008.0,4.47,12695.0,21.5,400.0,570.0,4.0,20.0,60.7,2.9,5835.0,73.0,1.4
564.0,3.0,60.0,49.0,1.0,1.0,298827.0,2008.0,4.47,12695.0,21.5,400.0,570.0,4.0,20.0,3038.8,2.3,3427.0,119.0,1.1
568.0,3.0,60.0,49.0,1.0,4.0,309760.0,2008.0,4.47,12695.0,21.5,400.0,570.0,4.0,20.0,1949.3,1.5,7600.0,202.0,0.7
571.0,3.0,127.0,49.0,1.0,5.0,297613.0,2008.0,4.47,12400.0,21.1,400.0,630.0,3.0,22.3,1391.8,2.0,4964.0,93.0,0.5
577.0,3.0,18.0,53.0,1.0,2.0,425144.0,2008.0,4.88,15500.0,15.09,450.0,1000.0,6.0,23.37,60.7,2.9,5835.0,73.0,1.4
598.0,9.0,33.0,43.0,1.0,1.0,239295.0,2008.0,4.2,9400.0,20.6,220.0,360.0,16.0,20.14,3038.8,2.3,3427.0,119.0,1.1
599.0,9.0,33.0,43.0,1.0,1.0,224719.0,2008.0,4.2,9400.0,20.6,220.0,360.0,16.0,20.14,3038.8,2.3,3427.0,119.0,1.1
615.0,12.0,106.0,49.0,3.0,20.0,330000.0,2008.0,4.57,15000.0,15.46,757.0,757.0,30.0,17.98,1.5,-6.8,121.0,332.6,0.8
616.0,13.0,42.0,40.0,1.0,10.0,212572.0,2008.0,3.63,7560.0,20.08,189.0,162.0,15.0,19.0,16.5,5.9,196.0,1500.0,0.8
617.0,13.0,42.0,40.0,1.0,5.0,206498.0,2008.0,3.63,7560.0,20.08,189.0,162.0,15.0,19.0,1391.8,2.0,4964.0,93.0,0.5
618.0,13.0,42.0,40.0,1.0,5.0,204121.0,2008.0,3.63,7560.0,20.08,189.0,162.0,15.0,19.0,1391.8,2.0,4964.0,93.0,0.5
666.0,16.0,136.0,42.0,2.0,23.0,495000.0,2008.0,3.94,10432.0,19.4,130.0,300.0,25.0,17.68,,,,,
667.0,33.0,137.0,54.0,1.0,48.0,792729.0,2008.0,4.57,21500.0,15.1,1200.0,960.0,19.0,22.58,,,,,
668.0,26.0,138.0,47.0,2.0,25.0,524500.0,2008.0,4.57,17010.0,16.9,605.0,1200.0,11.0,19.3,,,,,
669.0,34.0,54.0,53.0,1.0,1.0,382629.0,2008.0,4.73,13000.0,19.0,400.0,900.0,12.0,22.5,3038.8,2.3,3427.0,119.0,1.1
670.0,34.0,54.0,53.0,1.0,19.0,364424.0,2008.0,4.73,13000.0,19.0,400.0,900.0,12.0,22.5,771.0,5.2,8333.0,107.0,14.6
671.0,34.0,54.0,53.0,1.0,19.0,297601.0,2008.0,4.73,13000.0,19.0,400.0,900.0,12.0,22.5,771.0,5.2,8333.0,107.0,14.6
672.0,38.0,137.0,54.0,1.0,12.0,727025.0,2008.0,4.62,20000.0,17.27,500.0,500.0,21.0,22.32,902.3,3.0,451.0,508.0,1.3
673.0,20.0,56.0,40.0,1.0,1.0,212383.0,2008.0,4.05,8900.0,19.4,200.0,480.0,23.0,17.4,3038.8,2.3,3427.0,119.0,1.1
674.0,21.0,139.0,41.0,1.0,4.0,218645.0,2008.0,3.5,7800.0,24.0,200.0,340.0,4.0,19.95,1949.3,1.5,7600.0,202.0,0.7
675.0,21.0,140.0,50.0,1.0,35.0,419070.0,2008.0,4.6,15000.0,23.08,300.0,600.0,1.0,22.0,538.2,2.5,3217.0,25.0,1.4
678.0,28.0,89.0,39.0,1.0,5.0,151876.0,2009.0,3.85,5900.0,26.3,150.0,200.0,28.0,17.7,1391.8,2.0,4964.0,93.0,0.5
679.0,28.0,89.0,39.0,1.0,5.0,151816.0,2009.0,3.85,5900.0,26.3,150.0,200.0,28.0,17.7,1391.8,2.0,4964.0,93.0,0.5
693.0,3.0,145.0,40.0,1.0,4.0,182204.0,2009.0,3.89,7900.0,20.2,130.0,330.0,25.0,18.9,1949.3,1.5,7600.0,202.0,0.7
695.0,3.0,144.0,40.0,1.0,5.0,182204.0,2009.0,3.89,7750.0,21.1,130.0,360.0,25.0,19.18,1391.8,2.0,4964.0,93.0,0.5
707.0,3.0,93.0,47.0,2.0,14.0,229000.0,2009.0,4.25,10300.0,16.45,200.0,530.0,3.0,18.17,3.0,3.9,1350.0,97.0,3.3
713.0,3.0,60.0,49.0,1.0,5.0,285465.0,2009.0,4.47,12695.0,21.5,400.0,570.0,4.0,20.0,1391.8,2.0,4964.0,93.0,0.5
735.0,39.0,72.0,38.0,1.0,54.0,207466.0,2009.0,3.68,5800.0,20.29,200.0,300.0,1.0,19.3,403.9,2.2,25148.0,15.0,1.9
736.0,4.0,65.0,38.0,2.0,38.0,165000.0,2009.0,3.66,6325.0,22.2,83.0,189.0,16.0,17.22,,,,,
750.0,12.0,78.0,52.0,1.0,28.0,564834.0,2009.0,4.75,18597.0,14.74,757.0,1213.0,19.0,20.73,3861.0,3.6,2389.0,240.0,2.5
795.0,40.0,154.0,44.0,1.0,56.0,484664.0,2009.0,4.1,16500.0,15.51,900.0,700.0,27.0,18.5,64.1,3.0,354.0,65.0,1.1
796.0,25.0,155.0,38.0,1.0,12.0,363209.0,2009.0,3.75,9300.0,16.79,250.0,480.0,19.0,17.6,902.3,3.0,451.0,508.0,1.3
797.0,33.0,137.0,54.0,1.0,21.0,692805.0,2009.0,4.57,21500.0,15.1,1200.0,960.0,19.0,22.58,,,,,
798.0,26.0,138.0,47.0,2.0,11.0,495000.0,2009.0,4.57,17010.0,16.9,605.0,1200.0,11.0,19.3,0.4,1.9,5313.0,238.0,1.8
800.0,42.0,157.0,48.0,1.0,4.0,388650.0,2009.0,4.5,12300.0,22.43,280.0,550.0,2.0,23.4,1949.3,1.5,7600.0,202.0,0.7
802.0,21.0,159.0,42.0,1.0,37.0,423539.0,2009.0,4.11,10900.0,20.98,200.0,330.0,3.0,19.7,306.1,3.0,7314.0,137.0,0.8
820.0,3.0,13.0,43.0,2.0,9.0,189000.0,2010.0,4.12,8600.0,16.31,200.0,360.0,1.0,17.4,0.3,1.1,618.0,738.0,1.6
845.0,7.0,163.0,40.0,1.0,13.0,190707.0,2010.0,3.89,7750.0,20.01,200.0,380.0,1.0,17.45,237.0,2.4,1793.0,112.0,0.5
855.0,9.0,35.0,49.0,1.0,4.0,546613.0,2010.0,4.57,14100.0,17.87,300.0,700.0,17.0,22.1,1949.3,1.5,7600.0,202.0,0.7
862.0,12.0,106.0,48.0,2.0,11.0,450000.0,2010.0,4.57,15000.0,15.46,757.0,757.0,30.0,17.98,0.4,1.9,5313.0,238.0,1.8
877.0,14.0,153.0,45.0,1.0,21.0,239849.0,2010.0,4.37,9900.0,17.7,200.0,400.0,4.0,19.2,,,,,
879.0,14.0,114.0,45.0,2.0,26.0,249000.0,2010.0,4.37,11500.0,17.39,240.0,610.0,10.0,18.06,0.6,4.4,4624.0,41.0,1.8
883.0,14.0,134.0,49.0,1.0,5.0,334042.0,2010.0,4.49,13920.0,16.21,240.0,615.0,1.0,19.0,1391.8,2.0,4964.0,93.0,0.5
900.0,44.0,169.0,45.0,1.0,3.0,394776.0,2010.0,4.74,16100.0,15.2,440.0,600.0,25.0,21.6,200.2,2.2,13676.0,81.0,0.6
901.0,33.0,137.0,54.0,2.0,11.0,615000.0,2010.0,4.57,21500.0,15.1,1200.0,960.0,19.0,22.58,0.4,1.9,5313.0,238.0,1.8
902.0,42.0,170.0,44.0,1.0,4.0,400850.0,2010.0,4.18,10300.0,23.4,280.0,400.0,4.0,21.8,1949.3,1.5,7600.0,202.0,0.7
903.0,37.0,137.0,54.0,1.0,10.0,479805.0,2010.0,4.38,14500.0,23.16,350.0,600.0,1.0,22.14,16.5,5.9,196.0,1500.0,0.8
904.0,21.0,159.0,42.0,1.0,28.0,419070.0,2010.0,4.11,10900.0,20.98,200.0,330.0,3.0,19.7,3861.0,3.6,2389.0,240.0,2.5
905.0,21.0,58.0,50.0,1.0,4.0,425086.0,2010.0,4.63,14000.0,21.09,400.0,600.0,2.0,24.5,1949.3,1.5,7600.0,202.0,0.7
939.0,3.0,144.0,40.0,1.0,5.0,179775.0,2011.0,3.89,7750.0,21.1,130.0,360.0,25.0,19.18,1391.8,2.0,4964.0,93.0,0.5
940.0,3.0,144.0,40.0,1.0,35.0,201732.0,2011.0,3.89,7750.0,21.1,130.0,360.0,25.0,19.18,538.2,2.5,3217.0,25.0,1.4
947.0,3.0,93.0,47.0,2.0,9.0,219000.0,2011.0,4.25,10300.0,16.45,200.0,530.0,3.0,18.17,0.3,1.1,618.0,738.0,1.6
956.0,3.0,61.0,49.0,1.0,35.0,309582.0,2011.0,4.82,13880.0,15.0,400.0,980.0,24.0,18.25,538.2,2.5,3217.0,25.0,1.4
967.0,7.0,176.0,44.0,1.0,1.0,236926.0,2011.0,4.35,10500.0,16.32,250.0,530.0,1.0,19.8,3038.8,2.3,3427.0,119.0,1.1
969.0,7.0,164.0,45.0,3.0,53.0,229578.0,2011.0,4.3,10400.0,18.22,250.0,450.0,1.0,21.4,6.7,-2.8,306.0,236.0,0.6
980.0,9.0,178.0,55.0,1.0,4.0,498045.0,2011.0,5.05,19500.0,17.15,450.0,600.0,2.0,26.6,1949.3,1.5,7600.0,202.0,0.7
981.0,9.0,20.0,55.0,1.0,4.0,498026.0,2011.0,4.91,21500.0,18.26,500.0,695.0,13.0,28.17,1949.3,1.5,7600.0,202.0,0.7
984.0,13.0,42.0,43.0,1.0,21.0,287721.0,2011.0,3.63,7560.0,20.08,189.0,162.0,15.0,19.0,,,,,
998.0,14.0,114.0,45.0,2.0,11.0,245000.0,2011.0,4.37,11500.0,17.39,240.0,610.0,10.0,18.06,0.4,1.9,5313.0,238.0,1.8
1024.0,16.0,136.0,42.0,2.0,22.0,497000.0,2011.0,3.94,10432.0,19.4,130.0,300.0,25.0,17.68,,,,,
1025.0,33.0,137.0,54.0,1.0,5.0,839360.0,2011.0,4.57,21500.0,15.1,1200.0,960.0,19.0,22.58,1391.8,2.0,4964.0,93.0,0.5
1026.0,45.0,181.0,46.0,2.0,14.0,509000.0,2011.0,4.14,13854.0,17.21,303.0,568.0,1.0,19.81,3.0,3.9,1350.0,97.0,3.3
1027.0,34.0,182.0,48.0,1.0,4.0,303674.0,2011.0,4.6,12000.0,22.17,280.0,780.0,3.0,22.6,1949.3,1.5,7600.0,202.0,0.7
1028.0,37.0,183.0,50.0,1.0,4.0,479805.0,2011.0,4.18,9900.0,23.81,300.0,400.0,1.0,23.0,1949.3,1.5,7600.0,202.0,0.7
1029.0,37.0,183.0,50.0,1.0,4.0,467658.0,2011.0,4.18,9900.0,23.81,300.0,400.0,1.0,23.0,1949.3,1.5,7600.0,202.0,0.7
1030.0,21.0,184.0,50.0,1.0,4.0,570907.0,2011.0,4.66,16700.0,17.6,460.0,680.0,16.0,22.97,1949.3,1.5,7600.0,202.0,0.7
1031.0,21.0,184.0,50.0,1.0,13.0,631642.0,2011.0,4.66,16700.0,17.6,460.0,680.0,16.0,22.97,237.0,2.4,1793.0,112.0,0.5
1056.0,3.0,185.0,40.0,2.0,23.0,199500.0,2012.0,4.2,8320.0,17.23,200.0,570.0,12.0,16.3,,,,,
1059.0,3.0,186.0,43.0,2.0,14.0,219000.0,2012.0,4.43,9900.0,16.55,200.0,520.0,3.0,19.2,3.0,3.9,1350.0,97.0,3.3
1069.0,3.0,188.0,46.0,1.0,1.0,321895.0,2012.0,4.43,11030.0,16.53,200.0,570.0,2.0,19.7,3038.8,2.3,3427.0,119.0,1.1
1073.0,3.0,190.0,49.0,2.0,14.0,399650.0,2012.0,4.86,14200.0,18.44,600.0,970.0,3.0,22.14,3.0,3.9,1350.0,97.0,3.3
